test_id,node,test_category,test_description,test,result,failure_reason
1,leaf1,NTP,Synchronised with NTP server,NTP,FAIL,The conditional check 'ntp_status.stdout[0] | regex_search("synchronised to NTP server")' failed. The error was: Unexpected templating type error occurred on ({% if ntp_status.stdout[0] | regex_search("synchronised to NTP server") %} True {% else %} False {% endif %}): expected string or bytes-like object
2,leaf2,NTP,Synchronised with NTP server,NTP,FAIL,The conditional check 'ntp_status.stdout[0] | regex_search("synchronised to NTP server")' failed. The error was: Unexpected templating type error occurred on ({% if ntp_status.stdout[0] | regex_search("synchronised to NTP server") %} True {% else %} False {% endif %}): expected string or bytes-like object
3,leaf3,NTP,Synchronised with NTP server,NTP,FAIL,The conditional check 'ntp_status.stdout[0] | regex_search("synchronised to NTP server")' failed. The error was: Unexpected templating type error occurred on ({% if ntp_status.stdout[0] | regex_search("synchronised to NTP server") %} True {% else %} False {% endif %}): expected string or bytes-like object
4,leaf4,NTP,Synchronised with NTP server,NTP,FAIL,The conditional check 'ntp_status.stdout[0] | regex_search("synchronised to NTP server")' failed. The error was: Unexpected templating type error occurred on ({% if ntp_status.stdout[0] | regex_search("synchronised to NTP server") %} True {% else %} False {% endif %}): expected string or bytes-like object
5,spine1,NTP,Synchronised with NTP server,NTP,FAIL,The conditional check 'ntp_status.stdout[0] | regex_search("synchronised to NTP server")' failed. The error was: Unexpected templating type error occurred on ({% if ntp_status.stdout[0] | regex_search("synchronised to NTP server") %} True {% else %} False {% endif %}): expected string or bytes-like object
6,spine2,NTP,Synchronised with NTP server,NTP,FAIL,The conditional check 'ntp_status.stdout[0] | regex_search("synchronised to NTP server")' failed. The error was: Unexpected templating type error occurred on ({% if ntp_status.stdout[0] | regex_search("synchronised to NTP server") %} True {% else %} False {% endif %}): expected string or bytes-like object
7,leaf1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_SPINE1_Ethernet2,PASS
8,leaf1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE2_Ethernet2,PASS
9,leaf1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf2_Ethernet1,PASS
10,leaf1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4 - host1_Eth1,PASS
11,leaf1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet5 - host1_Eth2,PASS
12,leaf2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_SPINE1_Ethernet3,PASS
13,leaf2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE2_Ethernet3,PASS
14,leaf2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf1_Ethernet1,PASS
15,leaf2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4 - host1_Eth3,PASS
16,leaf2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet5 - host1_Eth4,PASS
17,leaf3,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_SPINE1_Ethernet4,PASS
18,leaf3,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE2_Ethernet4,PASS
19,leaf3,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf4_Ethernet1,PASS
20,leaf3,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4 - host2_Eth1,PASS
21,leaf3,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet5 - host2_Eth2,PASS
22,leaf4,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_SPINE1_Ethernet5,PASS
23,leaf4,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE2_Ethernet5,PASS
24,leaf4,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf3_Ethernet1,PASS
25,leaf4,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4 - host2_Eth3,PASS
26,leaf4,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet5 - host2_Eth4,PASS
27,spine1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_LEAF1_Ethernet2,PASS
28,spine1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_LEAF2_Ethernet2,PASS
29,spine1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_LEAF3_Ethernet2,PASS
30,spine1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_LEAF4_Ethernet2,PASS
31,spine2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_LEAF1_Ethernet3,PASS
